"","block_number","street1","street2"
"1","2200","OREGON ST",NA
"2","1700","RUSSELL ST",NA
"3","2100","HASTE ST",NA
"4","1600","CHANNING WAY",NA
"5","2000","MILVIA ST",NA
"6","1200","FIFTH ST",NA
"7","1000","SIERRA ST",NA
"8","1700","VIRGINIA ST",NA
"9","1200","ROSE ST",NA
"10","1500","DERBY ST",NA
"11","1900","ROSE ST",NA
"12","2800","ELLSWORTH ST",NA
"13","1400","NINTH ST",NA
"14","3000","ADELINE ST",NA
"15","1900","CENTER ST",NA
"16","1000","GILMAN ST",NA
"17",NA,"FIFTH STREET","HARRISON ST"
"18","2500","NINTH ST",NA
"19","1900","HEARST AVE",NA
"20","600","ADDISON ST",NA
"21",NA,"FIFTH STREET","HARRISON ST"
"22","1700","MCGEE AVE",NA
"23",NA,"ADDISON STREET","ACTON ST"
"24","2100","SHATTUCK AVE",NA
"25","1900","VINE ST",NA
"26","1300","MILVIA ST",NA
"27","1200","UNIVERSITY AVE",NA
"28","1200","HASKELL ST",NA
"29","2300","TELEGRAPH AVE",NA
"30",NA,"WEBSTER STREET","TELEGRAPH AVE"
"31","2200","HEARST AVE",NA
"32","2000","KITTREDGE ST",NA
"33","1700","GRANT ST",NA
"34","2100","UNIVERSITY AVE",NA
"35","3000","BENVENUE AVE",NA
"36","2100","SHATTUCK AVE",NA
"37","2700","PIEDMONT AVE",NA
"38","200","MARINA BLVD",NA
"39","2300","FULTON ST",NA
"40","2400","TELEGRAPH AVE",NA
"41","2000","ALLSTON WAY",NA
"42","1000","GILMAN ST",NA
"43","1500","BUENA AVE",NA
"44","2400","SHATTUCK AVE",NA
"45","2100","MCGEE AVE",NA
"46","1100","SHATTUCK AVE",NA
"47",NA,"SHATTUCK AVENUE","RUSSELL ST"
"48","1100","CAMELIA ST",NA
"49","2300","TELEGRAPH AVE",NA
"50","1400","ALCATRAZ AVE",NA
"51","100","BERKELEY SQ",NA
"52","2100","TENTH ST",NA
"53",NA,"HEARST AVENUE","CALIFORNIA ST"
"54","1500","RUSSELL ST",NA
"55","1700","FIFTH ST",NA
"56","2000","ALLSTON WAY",NA
"57","2300","RUSSELL ST",NA
"58","900","HEARST AVE",NA
"59","2000","SHATTUCK AVE",NA
"60","2500","ELLSWORTH ST",NA
"61","400","GILMAN ST",NA
"62",NA,"SAN PABLO AVENUE","GILMAN ST"
"63","3100","LEWISTON AVE",NA
"64","2000","DURANT AVE",NA
"65","900","GRAYSON ST",NA
"66","2000","OREGON ST",NA
"67","201","UNIVERSITY AVE",NA
"68","1900","FRANCISCO ST",NA
"69","2600","DURANT AVE",NA
"70","1600","THOUSAND OAKS BLVD",NA
"71","1000","ASHBY AVE",NA
"72",NA,"GRANT STREET","HEARST AVE"
"73","1000","ASHBY AVE",NA
"74","200","UNIVERSITY AVE",NA
"75","900","ALLSTON WAY",NA
"76","1500","SAN LORENZO AVE",NA
"77",NA,"",NA
"78","1900","CENTER ST",NA
"79",NA,"ADELINE STREET","STUART ST"
"80","2900","AVALON AVE",NA
"81","600","SANTA ROSA AVE",NA
"82",NA,"ALCATRAZ AVENUE","CLAREMONT AVE"
"83","2000","ALLSTON WAY",NA
"84","2500","DURANT AVE",NA
"85","2800","SEVENTH ST",NA
"86","2100","HASTE ST",NA
"87",NA,"DELAWARE STREET","SAN PABLO AVE"
"88","2700","HILLEGASS AVE",NA
"89","800","HEARST AVE",NA
"90","2100","SHATTUCK AVE",NA
"91","2700","HILLEGASS AVE",NA
"92","2200","HAROLD WAY",NA
"93","1900","DELAWARE ST",NA
"94","1400","UNIVERSITY AVE",NA
"95","3200","ADELINE ST",NA
"96","900","PARKER ST",NA
"97","2400","TELEGRAPH AVE",NA
"98","2800","CHANNING WAY",NA
"99","2000","SHATTUCK AVE",NA
"100","1800","FOURTH ST",NA
"101","2000","OREGON ST",NA
"102","2900","MAGNOLIA ST",NA
"103","1900","ALCATRAZ AVE",NA
"104","1300","TENTH ST",NA
"105","2200","WARD ST",NA
"106","900","DWIGHT WAY",NA
"107","2100","DELAWARE ST",NA
"108","1715","SPRUCE ST",NA
"109",NA,"ASHBY AVENUE","DEAKIN ST"
"110","2100","HASTE ST",NA
"111","1400","KAINS AVE",NA
"112","1700","STUART ST",NA
"113","2400","RIDGE RD",NA
"114","2000","BERRYMAN ST",NA
"115","2100","BANCROFT WAY",NA
"116","2400","PROSPECT ST",NA
"117","1600","TYLER ST",NA
"118",NA,"FIFTH STREET","ADDISON ST"
"119","2200","HAROLD WAY",NA
"120",NA,"OXFORD STREET","ADDISON ST"
"121","2900","STANTON ST",NA
"122","1600","WOOLSEY ST",NA
"123","1400","LINCOLN ST",NA
"124","2700","WOOLSEY ST",NA
"125","2200","BONAR ST",NA
"126",NA,"UNIVERSITY AVENUE","TENTH ST"
"127","1200","GRIZZLY PEAK BLVD",NA
"128","1100","STERLING AVE",NA
"129","1100","PARKER ST",NA
"130",NA,"CEDAR STREET","SHATTUCK AVE"
"131","1400","CARLETON ST",NA
"132","2900","LORINA ST",NA
"133","700","HEINZ AVE",NA
"134","2900","ELLIS ST",NA
"135","100","POPLAR ST",NA
"136","200","MARINA BLVD",NA
"137","2600","SAN PABLO AVE",NA
"138","2000","ESSEX ST",NA
"139","2100","HASTE ST",NA
"140","200","MARINA BLVD",NA
"141","2700","GARBER ST",NA
"142","2500","DURANT AVE",NA
"143","3000","COLBY ST",NA
"144","2300","WARRING ST",NA
"145","1800","FOURTH ST",NA
"146","2500","CHILTON WAY",NA
"147",NA,"MILVIA STREET","ALLSTON WAY"
"148","2700","DWIGHT WAY",NA
"149",NA,"SHATTUCK AVENUE","HEARST AVE"
"150",NA,"SAN PABLO AVENUE","CAMELIA ST"
"151","3000","SAN PABLO AVE",NA
"152","2100","MILVIA ST",NA
"153","2500","TELEGRAPH AVE",NA
"154","2500","DWIGHT WAY",NA
