"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"1",2016-03-23,"Wednesday",9,"IDENTITY THEFT","2200","OREGON ST",NA,37.857993,-122.263965,"weekday","1","S"
"2",2016-04-07,"Thursday",15.0833333333333,"BURGLARY RESIDENTIAL","1700","RUSSELL ST",NA,37.855678,-122.274429,"weekday","4","S"
"3",2015-12-24,"Thursday",17,"VEHICLE STOLEN","1600","CHANNING WAY",NA,37.864333,-122.278791,"weekday","4","S"
"4",2015-12-27,"Sunday",19.6,"NARCOTICS","2000","MILVIA ST",NA,37.871461,-122.270706,"weekend","2","E"
"5",2016-03-05,"Saturday",11.75,"BURGLARY AUTO","1200","FIFTH ST",NA,37.880786,-122.303067,"weekend","3","W"
"6",2015-12-23,"Wednesday",1.91666666666667,"BURGLARY AUTO","1000","SIERRA ST",NA,37.888656,-122.280441,"weekday","3","N"
"7",2016-03-16,"Wednesday",20,"VEHICLE STOLEN","1700","VIRGINIA ST",NA,37.875426,-122.278057,"weekday","4","W"
"8",2016-01-22,"Friday",19,"THEFT MISD. (UNDER $950)","1200","ROSE ST",NA,37.876615,-122.291393,"weekday","2","W"
"9",2016-05-11,"Wednesday",13,"ASSAULT/BATTERY MISD.","1500","DERBY ST",NA,37.858867,-122.278992,"weekday","4","S"
"10",2016-05-15,"Sunday",4.08333333333333,"VANDALISM","1900","ROSE ST",NA,37.881445,-122.274077,"weekend","3","N"
"11",2016-02-06,"Saturday",20.5,"THEFT MISD. (UNDER $950)","2800","ELLSWORTH ST",NA,37.859195,-122.261915,"weekend","2","S"
"12",2016-01-06,"Wednesday",19.1,"DISTURBANCE","1400","NINTH ST",NA,37.878274,-122.297556,"weekday","1","W"
"13",2016-03-12,"Saturday",20.75,"THEFT MISD. (UNDER $950)","3000","ADELINE ST",NA,37.85488,-122.269079,"weekend","2","S"
"14",2016-01-23,"Saturday",1,"ASSAULT/BATTERY FEL.","1900","CENTER ST",NA,37.869685,-122.272804,"weekend","5","S"
"15",2016-05-08,"Sunday",17,"THEFT FELONY (OVER $950)","1000","GILMAN ST",NA,37.88015,-122.297446,"weekend","5","W"
"16",2016-05-07,"Saturday",16.95,"BURGLARY AUTO",NA,"FIFTH STREET","HARRISON ST",37.880922,-122.303115,"weekend","3","W"
"17",2016-02-27,"Saturday",14.5,"BURGLARY AUTO","2500","NINTH ST",NA,37.860116,-122.29166,"weekend","3","W"
"18",2016-01-11,"Monday",12.0833333333333,"DISTURBANCE","1900","HEARST AVE",NA,37.873327,-122.273214,"weekday","1","N"
"19",2016-01-15,"Friday",18,"VEHICLE STOLEN","600","ADDISON ST",NA,37.865793,-122.301779,"weekday","4","W"
"20",2015-12-29,"Tuesday",10.25,"BURGLARY AUTO",NA,"FIFTH STREET","HARRISON ST",37.880922,-122.303115,"weekday","3","W"
"21",2016-05-22,"Sunday",10.3333333333333,"THEFT MISD. (UNDER $950)","1700","MCGEE AVE",NA,37.875426,-122.278057,"weekend","2","W"
"22",2016-04-21,"Thursday",11,"VEHICLE STOLEN",NA,"ADDISON STREET","ACTON ST",37.869167,-122.284138,"weekday","4","W"
"23",2016-04-12,"Tuesday",15.35,"THEFT MISD. (UNDER $950)","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","2","E"
